UPDATE_TYPE,INITIAL_POSTING_DATE,PACKAGE_NDC,GENERIC_NAME,CONTACT_INFO,AVAILABILITY,RELATED_INFO,UPDATE_DATE,THERAPEUTIC_CATEGORY,DOSAGE_FORM,PRESENTATION,COMPANY_NAME,SHORTAGE_REASON,STATUS,OPENFDA_APPLICATION_NUMBER,OPENFDA_BRAND_NAME,OPENFDA_GENERIC_NAME,OPENFDA_MANUFACTURER_NAME,OPENFDA_PRODUCT_NDC,OPENFDA_PRODUCT_TYPE,OPENFDA_ROUTE,OPENFDA_SUBSTANCE_NAME,OPENFDA_RXCUI,OPENFDA_SPL_ID,OPENFDA_SPL_SET_ID,OPENFDA_PACKAGE_NDC,OPENFDA_UNII,OPENFDA_NUI,OPENFDA_PHARM_CLASS_EPC,OPENFDA_PHARM_CLASS_PE,DISCONTINUED_DATE,RELATED_INFO_LINK,OPENFDA_PHARM_CLASS_CS,CHANGE_DATE,OPENFDA_PHARM_CLASS_MOA,RESOLVED_NOTE
New,06/26/2025,0093-5539-01,Eszopiclone Tablet,800-545-8800,,Discontinuation of the manufacture of the drug,06/26/2025,['Neurology'],Tablet,"Eszopiclone, Tablet, 3 mg (NDC 0093-5539-01)","Teva Pharmaceuticals USA, Inc.",,To Be Discontinued,['ANDA091169'],['ESZOPICLONE'],['ESZOPICLONE'],"['Teva Pharmaceuticals USA, Inc.']","['0093-5539', '0093-5537', '0093-5538']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['ESZOPICLONE'],"['485440', '485442', '485465']",['b7cc855f-8510-4cb2-a941-18d3c4472236'],['2435e2f1-bc52-488f-80e9-f1758e354aae'],"['0093-5537-56', '0093-5538-01', '0093-5539-01']",['UZX80K71OE'],,,,06/26/2025,,,,,
New,03/18/2025,0781-6185-56,Travoprost Solution/Drops,800-525-8747,,Business related decision to discontinue the product,03/18/2025,['Ophthalmology'],Solution/Drops,"Travatan Z, Solution/Drops, 2.5 mL (NDC 0781-6185-56)",Sandoz Inc.,,To Be Discontinued,['NDA021994'],['TRAVOPROST OPHTHALMIC SOLUTION'],['TRAVOPROST'],['Sandoz Inc'],['0781-6185'],['HUMAN PRESCRIPTION DRUG'],['OPHTHALMIC'],['TRAVOPROST'],['284008'],['c9120f44-4d13-49f1-924f-34e36f35da10'],['c17aa704-1ec6-4610-a448-4964bdb1cba1'],"['0781-6185-56', '0781-6185-75']",['WJ68R08KX9'],"['N0000175454', 'M0017805']",['Prostaglandin Analog [EPC]'],,03/18/2025,,['Prostaglandins [CS]'],,,
New,08/13/2025,66658-230-01,Palivizumab Injection,866-773-5274,,Discontinuation of the manufacture of the drug,08/13/2025,['Antiviral'],Injection,"Synagis, Injection, 50 mg/.5 mL (NDC 66658-230-01)",Swedish Orphan Biovitrum AB,,To Be Discontinued,['BLA103770'],['SYNAGIS'],['PALIVIZUMAB'],['Swedish Orphan Biovitrum AB (publ)'],"['66658-230', '66658-231']",['HUMAN PRESCRIPTION DRUG'],['INTRAMUSCULAR'],['PALIVIZUMAB'],"['1657341', '1657343', '1657361', '1657362']",['825a4b3c-e419-457c-8862-fd7b74a171ed'],['3a0096c7-8139-44cd-bba4-520ab05c2cb2'],"['66658-231-01', '66658-230-01']",['DQ448MW7KS'],"['M0001357', 'N0000175615', 'N0000175623']",['Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody [EPC]'],,08/13/2025,,"['Antibodies, Monoclonal [CS]']",,['Fusion Protein Inhibitors [MoA]'],
Reverified,07/14/2023,0378-6858-77,Lisdexamfetamine Dimesylate Capsule,800-796-9526,Available,,11/06/2025,['Psychiatry'],Capsule,"Lisdexamfetamine Dimesylate, Capsule, 50 mg (NDC 0378-6858-77)","Mylan Pharmaceuticals Inc., a Viatris Company",,Current,['ANDA202835'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE'],['Mylan Pharmaceuticals Inc.'],"['0378-6858', '0378-6854', '0378-6855', '0378-6856', '0378-6857', '0378-6859', '0378-6860']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850', '1593856']",['63cd6f7c-f976-440e-a35f-e71a9f2fd1bb'],['efbde0f6-b848-4664-b741-c6c630e66108'],"['0378-6854-77', '0378-6855-77', '0378-6856-77', '0378-6857-77', '0378-6858-77', '0378-6859-77', '0378-6860-77']",['SJT761GEGS'],,,,,,,,,
Reverified,10/05/2022,72572-161-10,Etomidate Injection,800-631-2174,Available,Distributed by Civica,10/24/2025,['Anesthesia'],Injection,"Etomidate, Injection, 2 mg/1 mL (NDC 72572-161-10)","Hikma Pharmaceuticals USA, Inc.",,Current,['ANDA202354'],['ETOMIDATE'],['ETOMIDATE'],"['Civica, Inc.']","['72572-161', '72572-160']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ETOMIDATE'],"['1654006', '1654008']",['380f0c88-03f8-4cfa-8823-4766c2f7700c'],['98002094-f065-4b5f-963f-2c34b5241316'],"['72572-160-01', '72572-160-10', '72572-161-01', '72572-161-10']",['Z22628B598'],"['N0000175975', 'N0000175681']",['General Anesthetic [EPC]'],['General Anesthesia [PE]'],,,,,,
Reverified,02/20/2018,70069-753-25,Bupivacaine Hydrochloride Injection,732-554-1037,Available,,08/19/2025,['Anesthesia'],Injection,"Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 70069-753-25)","Somerset Therapeutics, LLC",,Current,['ANDA217792'],['BUPIVACAINE HYDROCHLORIDE'],['BUPIVACAINE HYDROCHLORIDE'],"['Somerset Therapeutics, LLC']","['70069-753', '70069-752']",['HUMAN PRESCRIPTION DRUG'],"['INFILTRATION', 'PERINEURAL']",['BUPIVACAINE HYDROCHLORIDE'],"['1012396', '1012404']",['2b24af95-6f20-4945-bf8c-742f1d6f2721'],['bcaab86f-20f0-4482-8d73-e29b36dced58'],"['70069-752-25', '70069-752-10', '70069-752-01', '70069-753-25', '70069-753-01', '70069-753-10']",['7TQO7W3VT8'],,,,,,,,,
New,06/13/2025,0093-0771-98,Pravastatin Sodium Tablet,800-545-8800,,,06/13/2025,['Cardiovascular'],Tablet,"Pravastatin Sodium, Tablet, 10 mg (NDC 0093-0771-98)","Teva Pharmaceuticals USA, Inc.",,To Be Discontinued,['ANDA076056'],['PRAVASTATIN SODIUM'],['PRAVASTATIN SODIUM'],"['Teva Pharmaceuticals USA, Inc.']","['0093-0771', '0093-7201', '0093-7202']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['PRAVASTATIN SODIUM'],"['904458', '904467', '904475']",['72579e23-23ef-4ab7-ad64-24d5ea7997eb'],['99e0e848-f8f3-4b42-b880-8fbc42633948'],"['0093-0771-98', '0093-0771-10', '0093-7201-98', '0093-7201-10', '0093-7202-98', '0093-7202-10']",['3M8608UQ61'],,,,06/13/2025,,,,,
Reverified,07/14/2023,0406-5114-01,Lisdexamfetamine Dimesylate Capsule,800-325-8888,Limited Availability,Allocation to all customers. Backorder expected in November with next release in December 2025.,11/05/2025,['Psychiatry'],Capsule,"Lisdexamfetamine Dimesylate, Capsule, 40 mg (NDC 0406-5114-01)",SpecGx LLC,Shortage of an active ingredient,Current,['ANDA211840'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE DIMESYLATE'],['SpecGx LLC'],"['0406-5114', '0406-5111', '0406-5112', '0406-5113', '0406-5115', '0406-5116', '0406-5117']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850', '1593856']",['3ffc0695-83f7-4898-9fd7-451c0989cfe0'],['806a1c15-0842-4787-b2ad-09a21fd96b37'],"['0406-5111-01', '0406-5112-01', '0406-5113-01', '0406-5114-01', '0406-5115-01', '0406-5116-01', '0406-5117-01']",['SJT761GEGS'],,,,,,,,,
Reverified,10/05/2022,72266-146-10,Etomidate Injection,833-291-9645,Available,"Distributed by Fosun Pharma USA, Inc.. To order, contact: 833-291-9645.",09/29/2025,['Anesthesia'],Injection,"Etomidate, Injection, 2 mg/1 mL (NDC 72266-146-10)",Gland Pharma Limited,,Current,['ANDA209058'],['ETOMIDATE'],['ETOMIDATE INJECTION'],['Fosun Pharma USA Inc'],"['72266-146', '72266-147']",['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ETOMIDATE'],"['1654006', '1654008']",['2b365133-b609-3285-e063-6394a90a69a6'],['8b6c54d8-3f3f-4290-841c-976bea01086f'],"['72266-146-01', '72266-146-10', '72266-147-01', '72266-147-10']",['Z22628B598'],"['N0000175975', 'N0000175681']",['General Anesthetic [EPC]'],['General Anesthesia [PE]'],,,,,,
New,02/06/2025,0378-5090-73,Varenicline Tartrate Tablet,800-796-9526,,Permanent discontinuation in the manufacturing of the drug,02/06/2025,['Analgesia/Addiction'],Tablet,"Varenicline Tartrate, Tablet, 1 mg (NDC 0378-5090-73)","Mylan Pharmaceuticals Inc., a Viatris Company",,To Be Discontinued,['ANDA202019'],['VARENICLINE'],['VARENICLINE'],['Mylan Pharmaceuticals Inc.'],"['0378-5090', '0378-5089', '0378-5091']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['VARENICLINE TARTRATE'],"['636671', '636676', '749289']",['5b7b6e3b-f427-4000-b252-968f3adbaa3b'],['4233fb78-ac6c-49f3-aad8-7e4bee18cac6'],"['0378-5089-73', '0378-5090-73', '0378-5091-85', '0378-5089-46', '0378-5090-23']",['82269ASB48'],,,,02/06/2025,,,,,
New,10/31/2025,0603-5165-32,Phenobarbital Tablet,800-828-9393,,Discontinuation of the manufacture of the drug,10/31/2025,"['Analgesia/Addiction', 'Neurology', 'Other']",Tablet,"Phenobarbital, Tablet, 16.2 mg (NDC 0603-5165-32)","Endo Pharmaceuticals, Inc.",,To Be Discontinued,,['PHENOBARBITAL'],['PHENOBARBITAL'],"['Endo USA, Inc.']","['0603-5165', '0603-5166', '0603-5167', '0603-5168']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['PHENOBARBITAL'],"['198086', '199164', '199167', '199168']",['670a5f53-11d3-4132-b6e5-4ad63852cfa7'],['069b92ce-0061-4724-8c25-08d8596770a2'],"['0603-5165-21', '0603-5165-32', '0603-5166-16', '0603-5166-20', '0603-5166-02', '0603-5166-21', '0603-5166-22', '0603-5166-32', '0603-5167-21', '0603-5167-32', '0603-5168-21', '0603-5168-32']",['YQE403BP4D'],,,,10/31/2025,,,,,
Revised,07/14/2023,0480-3568-01,Lisdexamfetamine Dimesylate Capsule,800-545-8800,Limited Availability,Estimated availability: November 2025,11/06/2025,['Psychiatry'],Capsule,"Lisdexamfetamine Dimesylate, Capsule, 40 mg (NDC 0480-3568-01)","Teva Pharmaceuticals USA, Inc.",Other,Current,['ANDA202802'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE DIMESYLATE'],"['Teva Pharmaceuticals, Inc.']","['0480-3568', '0480-3565', '0480-3566', '0480-3567', '0480-3569', '0480-3570', '0480-3564']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850', '1593856']",['6cfe6c98-51b1-45a4-831c-33624ab129cb'],['c32b5dce-2de4-4db0-a4ba-d2ce3b0a32fc'],"['0480-3565-01', '0480-3566-01', '0480-3567-01', '0480-3568-01', '0480-3569-01', '0480-3570-01', '0480-3564-01']",['SJT761GEGS'],,,,,,,,,
New,01/06/2025,45963-568-08,Ezetimibe; Simvastatin Tablet,800-545-8800,,,01/06/2025,['Cardiovascular'],Tablet,"EZETIMIBE AND SIMVASTATIN, Tablet, 10 mg; 80 mg (NDC 45963-568-08)","Teva Pharmaceuticals USA, Inc.",,To Be Discontinued,['ANDA202968'],['EZETIMIBE AND SIMVASTATIN'],['EZETIMIBE AND SIMVASTATIN'],"['Actavis Pharma, Inc.']","['45963-568', '45963-565', '45963-566', '45963-567']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],"['EZETIMIBE', 'SIMVASTATIN']","['476345', '476349', '476350', '476351']",['bd64aee1-c95f-4767-8d31-af93dd0ab692'],['00680bea-d2fb-4362-ba67-e866b732e9ed'],"['45963-565-30', '45963-565-08', '45963-566-30', '45963-566-08', '45963-567-30', '45963-567-08', '45963-568-30', '45963-568-08']","['AGG2FN16EV', 'EOR26LQQ24']","['N0000175589', 'N0000000121', 'N0000008553', 'N0000175911']","['HMG-CoA Reductase Inhibitor [EPC]', 'Dietary Cholesterol Absorption Inhibitor [EPC]']",['Decreased Cholesterol Absorption [PE]'],01/06/2025,,,,['Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]'],
Reverified,02/20/2018,63323-463-57,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",888-386-1300,Available,Check wholesaler for inventory,11/05/2025,['Anesthesia'],Injection,"Sensorcaine, Injection, 5 mg/1 mL; .005 mg/1 mL (NDC 63323-463-57)","Fresenius Kabi USA, LLC",,Current,['ANDA070968'],['SENSORCAINE'],['BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE'],"['Fresenius Kabi USA, LLC']","['63323-463', '63323-472', '63323-461', '63323-468']",['HUMAN PRESCRIPTION DRUG'],['PERINEURAL'],"['BUPIVACAINE HYDROCHLORIDE', 'EPINEPHRINE BITARTRATE']","['1012377', '1012384', '1012413', '1012417', '1724786', '1724787', '1724809', '1724810', '1867594', '1867596', '1867618', '1867620']",['cc1f6507-eb3e-4398-a1d3-0c56a2099e6b'],['bc61a9a6-0a4e-48a9-b908-e5e66b9f23eb'],"['63323-472-03', '63323-472-17', '63323-472-01', '63323-472-37', '63323-463-01', '63323-463-57', '63323-461-01', '63323-461-57', '63323-468-02', '63323-468-37', '63323-468-01', '63323-468-17']","['7TQO7W3VT8', '30Q7KI53AK']",,,,,,,,,
Revised,11/21/2023,0641-1495-35,Promethazine Hydrochloride Injection,800-631-2174,Available,Additional lots are scheduled to be manufactured. Product will be made available as it is released.,10/24/2025,"['Analgesia/Addiction', 'Gastroenterology', 'Pediatric', 'Pulmonary/Allergy']",Injection,"Promethazine Hydrochloride, Injection, 25 mg/1 mL (NDC 0641-1495-35)","Hikma Pharmaceuticals USA, Inc.",,Current,['ANDA083312'],['PROMETHAZINE HYDROCHLORIDE'],['PROMETHAZINE HYDROCHLORIDE'],['Hikma Pharmaceuticals USA Inc.'],"['0641-1495', '0641-1496']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['PROMETHAZINE HYDROCHLORIDE'],"['992460', '992858']",['80a400d2-d293-4180-bfa7-7a8ce0734bc5'],['13d9e59d-eadb-41d5-9f47-9c11a6efb31c'],"['0641-1495-31', '0641-1495-35', '0641-1496-31', '0641-1496-35']",['R61ZEH7I1I'],,,,,,,,,
Revised,07/14/2023,57664-085-88,"Lisdexamfetamine Dimesylate Tablet, Chewable",800-818-4555,Limited Availability,Available Q4 2025,10/21/2025,['Psychiatry'],"Tablet, Chewable","Lisdexamfetamine Dimesylate, Tablet, Chewable, 30 mg (NDC 57664-085-88)","Sun Pharmaceutical Industries, Inc.",Other,Current,['ANDA214134'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE DIMESYLATE'],"['Sun Pharmaceutical Industries, Inc.']","['57664-085', '57664-047', '57664-046', '57664-048', '57664-049', '57664-050', '57664-051', '57664-052', '57664-083', '57664-084', '57664-086', '57664-087', '57664-088']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850', '1593856', '1871456', '1871460', '1871462', '1871464', '1871466', '1871468']",['0b77417a-5789-8818-e063-6294a90ad2e3'],['da3148af-f9b6-4725-adae-3595b4c7dc4b'],"['57664-047-88', '57664-046-88', '57664-048-88', '57664-049-88', '57664-050-88', '57664-051-88', '57664-052-88', '57664-083-88', '57664-084-88', '57664-085-88', '57664-086-88', '57664-087-88', '57664-088-88']",['SJT761GEGS'],,,,,,,,,
New,06/27/2025,0591-3713-19,Ezetimibe Tablet,800-545-8800,,A business decision was made to discontinue manufacture of the product,06/27/2025,['Cardiovascular'],Tablet,"Ezetimibe, Tablet, 10 mg (NDC 0591-3713-19)","Actavis Pharma, Inc.",,To Be Discontinued,['ANDA200831'],['EZETIMIBE'],['EZETIMIBE'],"['Actavis Pharma, Inc.']",['0591-3713'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['EZETIMIBE'],['349556'],['24aaf5ca-08e0-4db8-9734-cf2a606f8e57'],['f26e7a4e-b3d9-4cf8-baf0-7423d46cd8ba'],"['0591-3713-30', '0591-3713-19', '0591-3713-05']",['EOR26LQQ24'],"['N0000008553', 'N0000175911']",['Dietary Cholesterol Absorption Inhibitor [EPC]'],['Decreased Cholesterol Absorption [PE]'],06/27/2025,,,,,
New,04/23/2025,50090-6868-3,Baclofen Tablet,716-315-2000,,,04/23/2025,['Neurology'],Tablet,"Baclofen, Tablet, 10 mg (NDC 50090-6868-3)","Upsher-Smith Laboratories, LLC",,To Be Discontinued,,,,,,,,,,,,,,,,,04/23/2025,,,,,
Revised,11/21/2023,0641-6084-25,Promethazine Hydrochloride Injection,800-631-2174,Unavailable,This presentation is temporarily on backorder.,10/24/2025,"['Analgesia/Addiction', 'Gastroenterology', 'Pediatric', 'Pulmonary/Allergy']",Injection,"Phenergan, Injection, 25 mg/1 mL (NDC 0641-6084-25)","Hikma Pharmaceuticals USA, Inc.",Other,Current,['ANDA083312'],['PHENERGAN'],['PROMETHAZINE HYDROCHLORIDE'],['Hikma Pharmaceuticals USA Inc.'],"['0641-6084', '0641-6085']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['PROMETHAZINE HYDROCHLORIDE'],"['992460', '992462', '992858', '992876']",['7d6e64fc-bbf2-4ea9-b866-8115c448e687'],['481866da-a712-48a5-853f-8e84aacaab6d'],"['0641-6084-01', '0641-6084-25', '0641-6085-01', '0641-6085-25']",['R61ZEH7I1I'],,,,,,,,,
Revised,09/05/2018,0641-6001-25,Lorazepam Injection,800-631-2174,Limited Availability,Lots are being manufactured to meet demand,10/24/2025,['Neurology'],Injection,"Ativan, Injection, 2 mg/1 mL (NDC 0641-6001-25)","Hikma Pharmaceuticals USA, Inc.",Demand increase for the drug,Current,['NDA018140'],['ATIVAN'],['LORAZEPAM'],['Hikma Pharmaceuticals USA Inc.'],"['0641-6001', '0641-6003', '0641-6002', '0641-6000']",['HUMAN PRESCRIPTION DRUG'],"['INTRAMUSCULAR', 'INTRAVENOUS']",['LORAZEPAM'],"['206819', '206820', '238100', '238101', '1665188', '1665190', '1665326', '1665327']",['209b0091-c890-4f69-a693-d0594c2606fe'],['5fc0e987-61c9-40c4-b0d5-fcea07c8733e'],"['0641-6003-01', '0641-6003-25', '0641-6002-01', '0641-6002-10', '0641-6001-01', '0641-6001-25', '0641-6000-01', '0641-6000-10']",['O26FZP769L'],"['N0000175694', 'M0002356']",['Benzodiazepine [EPC]'],,,,['Benzodiazepines [CS]'],,,
Reverified,07/14/2023,0054-0372-25,Lisdexamfetamine Dimesylate Capsule,800-631-2174,Limited Availability,Available on allocation,10/24/2025,['Psychiatry'],Capsule,"Lisdexamfetamine Dimesylate, Capsule, 40 mg (NDC 0054-0372-25)","Hikma Pharmaceuticals USA, Inc.",Shortage of an active ingredient,Current,['ANDA202827'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE DIMESYLATE'],['Hikma Pharmaceuticals USA Inc.'],"['0054-0372', '0054-0660', '0054-0370', '0054-0371', '0054-0373', '0054-0374', '0054-0375']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850', '1593856']",['5d119550-4386-4bfa-a5d0-bb18e66191b7'],['6740a621-9bec-4178-a4fc-a3fc89f34e0a'],"['0054-0660-25', '0054-0370-25', '0054-0371-25', '0054-0372-25', '0054-0373-25', '0054-0374-25', '0054-0375-25']",['SJT761GEGS'],,,,,,,,,
Reverified,10/05/2022,0409-6695-01,Etomidate Injection,844-646-4398,Available,,10/23/2025,['Anesthesia'],Injection,"Amidate, Injection, 2 mg/1 mL (NDC 0409-6695-01)","Hospira, Inc., a Pfizer Company",,Current,['NDA018227'],['AMIDATE'],['ETOMIDATE'],"['Hospira, Inc.']",['0409-6695'],['HUMAN PRESCRIPTION DRUG'],['INTRAVENOUS'],['ETOMIDATE'],"['1654006', '1654008', '1654009', '1654011']",['b59f4852-2843-4a8f-a597-306ebddb259a'],['b7ed5bf8-ba75-44dc-8f81-96b4ad5766be'],"['0409-6695-11', '0409-6695-01', '0409-6695-12', '0409-6695-02']",['Z22628B598'],"['N0000175975', 'N0000175681']",['General Anesthetic [EPC]'],['General Anesthesia [PE]'],,,,,,
New,11/03/2025,60951-701-70,Acetaminophen; Oxycodone Hydrochloride Tablet,800-828-9393,,Discontinuation of the manufacture of the drug,11/03/2025,['Analgesia/Addiction'],Tablet,"Percocet, Tablet, 325 mg; 2.5 mg (NDC 60951-701-70)","Endo Pharmaceuticals, Inc.",,To Be Discontinued,['ANDA040330'],['ENDOCET'],['OXYCODONE AND ACETAMINOPHEN'],"['ENDO USA, Inc.']","['60951-701', '60951-602', '60951-700', '60951-712']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],"['ACETAMINOPHEN', 'OXYCODONE HYDROCHLORIDE']","['1049214', '1049216', '1049221', '1049223', '1049225', '1049227', '1049635', '1487288']",['2a088d17-73b2-457f-99f6-efcd32f648a5'],['944d3e60-7eee-11de-a413-0002a5d5c51b'],"['60951-602-70', '60951-602-85', '60951-700-70', '60951-712-70', '60951-701-70']","['C1ENJ2TE6C', '362O9ITL9D']",,,,11/03/2025,,,,,
Reverified,02/20/2018,0409-1165-02,Bupivacaine Hydrochloride Injection,844-646-4398,Available,,10/23/2025,['Anesthesia'],Injection,"Bupivacaine Hydrochloride, Injection, 225 mg/30 mL (7.5 mg/mL) (NDC 0409-1165-02)","Hospira, Inc., a Pfizer Company",,Current,['ANDA070585'],['BUPIVACAINE HYDROCHLORIDE'],['BUPIVACAINE HYDROCHLORIDE'],"['Hospira, Inc.']","['0409-1165', '0409-1159', '0409-1160', '0409-1162', '0409-1163', '0409-9043', '0409-9046', '0409-9045', '0409-9042']",['HUMAN PRESCRIPTION DRUG'],"['EPIDURAL', 'RETROBULBAR']",['BUPIVACAINE HYDROCHLORIDE'],"['1012377', '1012384', '1012396', '1012404', '1672917', '1672919', '1724786', '1724787', '1724880', '1724884', '1725078', '1725082', '1867594', '1867596']",['3c6a5b9f-4ea0-4ccd-a384-a90e4ad379e7'],['02a845c3-4521-4926-e397-25ab536e7cf6'],"['0409-1159-18', '0409-1159-01', '0409-1159-19', '0409-1159-02', '0409-1160-18', '0409-1160-01', '0409-1162-18', '0409-1162-01', '0409-1162-19', '0409-1162-02', '0409-1163-18', '0409-1163-01', '0409-1165-18', '0409-1165-01', '0409-1165-19', '0409-1165-02', '0409-9043-11', '0409-9043-01', '0409-9046-11', '0409-9046-01', '0409-9045-11', '0409-9045-01', '0409-9045-16', '0409-9045-17', '0409-9042-11', '0409-9042-01', '0409-9042-16', '0409-9042-17']","['7TQO7W3VT8', '30Q7KI53AK']",,,,,,,,,
New,01/08/2025,43598-741-01,Ramelteon Tablet,866-732-3952,,,01/08/2025,['Other'],Tablet,"Tablet, 8 mg (NDC 43598-741-01)","Dr. Reddy's Laboratories, Inc.",,To Be Discontinued,['ANDA091693'],['RAMELTEON'],['RAMELTEON'],['Dr.Reddys Laboratories Inc'],['43598-741'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['RAMELTEON'],['577348'],['54220029-c5df-b277-af7e-2786da03bbed'],['b71cd925-1bae-5a6a-072b-941ad6d3ce65'],"['43598-741-30', '43598-741-01', '43598-741-10']",['901AS54I69'],"['N0000175743', 'N0000000250']",['Melatonin Receptor Agonist [EPC]'],,01/08/2025,,,,['Melatonin Receptor Agonists [MoA]'],
Reverified,07/14/2023,65162-028-09,Lisdexamfetamine Dimesylate Capsule,866-525-7270,Unavailable,Shortage of an active ingredient,11/07/2025,['Psychiatry'],Capsule,"Lisdexamfetamine Dimesylate, Capsule, 70 mg (NDC 65162-028-09)",Amneal Pharmaceuticals,Shortage of an active ingredient,Current,['ANDA202830'],['LISDEXAMFETAMINE DIMESYLATE'],['LISDEXAMFETAMINE'],['Amneal Pharmaceuticals LLC'],"['65162-028', '65162-023', '65162-024', '65162-025', '65162-026', '65162-027']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['LISDEXAMFETAMINE DIMESYLATE'],"['854830', '854834', '854838', '854842', '854846', '854850']",['5fde01e6-09ba-4a92-bd47-aad0d7c518e4'],['c11cb3b6-3dff-477b-a249-b4c3118edc5f'],"['65162-023-09', '65162-024-09', '65162-025-09', '65162-026-09', '65162-027-09', '65162-028-09']",['SJT761GEGS'],,,,,,,,,
New,04/28/2025,0832-7123-11,"Divalproex Sodium Tablet, Delayed Release",800-654-2299,,Discontinuation of manufacture of drug based on business decision.,04/28/2025,['Neurology'],Tablet,"Divalproex Sodium, Tablet, Delayed Release, 250 mg (NDC 0832-7123-11)","Upsher-Smith Laboratories, LLC",,To Be Discontinued,['ANDA078182'],['DIVALPROEX SODIUM'],['DIVALPROEX SODIUM'],"['Upsher-Smith Laboratories, LLC']","['0832-7123', '0832-7122', '0832-7124']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['DIVALPROEX SODIUM'],"['1099625', '1099678', '1099870']",['38e51a59-5802-77a6-e063-6394a90af6c6'],['02304a23-4a5f-47bc-9687-4044b43f7a20'],"['0832-7122-11', '0832-7122-15', '0832-7123-11', '0832-7123-15', '0832-7123-89', '0832-7123-01', '0832-7124-11', '0832-7124-15', '0832-7124-89', '0832-7124-01']",['644VL95AO6'],,,,04/28/2025,,,,,
New,01/08/2025,43598-741-10,Ramelteon Tablet,866-732-3952,,,01/08/2025,['Other'],Tablet,"Tablet, 8 mg (NDC 43598-741-10)","Dr. Reddy's Laboratories, Inc.",,To Be Discontinued,['ANDA091693'],['RAMELTEON'],['RAMELTEON'],['Dr.Reddys Laboratories Inc'],['43598-741'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['RAMELTEON'],['577348'],['54220029-c5df-b277-af7e-2786da03bbed'],['b71cd925-1bae-5a6a-072b-941ad6d3ce65'],"['43598-741-30', '43598-741-01', '43598-741-10']",['901AS54I69'],"['N0000175743', 'N0000000250']",['Melatonin Receptor Agonist [EPC]'],,01/08/2025,,,,['Melatonin Receptor Agonists [MoA]'],
Revised,02/22/2012,0409-4283-01,Lidocaine Hydrochloride Injection,844-646-4398,Available,,11/07/2025,"['Anesthesia', 'Pediatric']",Injection,"Lidocaine Hydrochloride Preservative Free, Injection, 200 mg/5 mL (4%; 40 mg/mL) (NDC 0409-4283-01)","Hospira, Inc., a Pfizer Company",,Current,['ANDA088295'],['LIDOCAINE HYDROCHLORIDE'],['LIDOCAINE HYDROCHLORIDE'],"['Hospira, Inc.']",['0409-4283'],['HUMAN PRESCRIPTION DRUG'],"['RETROBULBAR', 'TOPICAL']",['LIDOCAINE HYDROCHLORIDE'],['1010844'],['499e9cfa-ea8d-487c-a8b3-fd7e1917d25f'],['89a4bd73-89f4-4fd7-2c9f-921e1da8f96b'],"['0409-4283-11', '0409-4283-25', '0409-4283-01']",['V13007Z41A'],,,,,,,,,
